Feature,Cluster
0,7
1,10
2,10
3,7
4,10
5,7
6,9
7,10
8,5
9,11
10,7
11,10
12,5
13,7
14,11
15,5
16,7
17,11
18,10
19,11
20,10
21,5
22,10
23,9
24,5
25,10
26,11
27,1
28,8
29,7
30,11
31,11
32,11
33,10
34,6
35,3
36,10
37,7
38,7
39,7
40,7
41,9
42,11
43,8
44,8
45,7
46,7
47,10
48,8
49,8
50,8
51,5
52,7
53,5
54,8
55,7
56,7
57,10
58,5
59,9
60,10
61,7
62,8
63,8
64,6
65,7
66,7
67,11
68,11
69,10
70,5
71,11
72,1
73,7
74,8
75,7
76,5
77,11
78,8
79,7
80,11
81,10
82,10
83,8
84,8
85,5
86,7
87,7
88,8
89,6
90,8
91,5
92,7
93,6
94,10
95,5
96,10
97,8
98,8
99,1
100,2
101,10
102,9
103,8
104,7
105,6
106,5
107,10
108,7
109,5
110,8
111,5
112,11
113,1
114,8
115,6
116,7
117,7
118,5
119,8
120,11
121,7
122,7
123,5
124,8
125,11
126,8
127,7
128,8
129,5
130,10
131,10
132,10
133,7
134,4
135,7
136,10
137,7
138,9
139,10
140,6
141,11
142,6
143,8
144,10
145,6
146,10
147,7
148,6
149,5
150,10
151,7
152,8
153,8
154,11
155,11
156,7
157,6
158,10
159,9
160,11
161,11
162,10
163,8
164,11
165,10
166,5
167,10
168,8
169,8
170,11
171,10
172,8
173,7
174,6
175,8
176,8
177,11
178,5
179,11
180,5
181,8
182,8
183,11
184,9
185,10
186,5
187,10
188,8
189,11
190,11
191,8
192,8
193,10
194,7
195,8
196,5
197,9
198,5
199,6
200,8
201,6
202,10
203,7
204,8
205,8
206,7
207,6
208,6
209,7
210,3
211,7
212,7
213,10
214,7
215,7
216,5
217,5
218,10
219,1
220,5
221,10
222,7
223,8
224,8
225,8
226,7
227,8
228,6
229,8
230,9
231,7
232,8
233,8
234,7
235,8
236,6
237,11
238,5
239,5
240,8
241,6
242,10
243,5
244,10
245,10
246,7
247,11
248,5
249,5
250,8
251,6
252,5
253,6
254,10
255,10
256,11
257,10
258,8
259,7
260,11
261,11
262,7
263,11
264,5
265,11
266,9
267,9
268,11
