Feature,Cluster
0,6
1,9
2,9
3,7
4,9
5,6
6,10
7,8
8,7
9,9
10,6
11,8
12,7
13,7
14,10
15,7
16,7
17,9
18,8
19,9
20,9
21,7
22,8
23,10
24,7
25,8
26,9
27,1
28,8
29,7
30,9
31,9
32,9
33,8
34,5
35,3
36,8
37,6
38,6
39,6
40,6
41,10
42,9
43,8
44,6
45,7
46,6
47,8
48,8
49,6
50,8
51,7
52,6
53,7
54,8
55,6
56,6
57,8
58,7
59,10
60,9
61,6
62,6
63,8
64,5
65,6
66,6
67,10
68,9
69,8
70,7
71,10
72,1
73,6
74,8
75,6
76,7
77,9
78,8
79,7
80,9
81,9
82,8
83,6
84,8
85,7
86,6
87,7
88,8
89,5
90,8
91,7
92,6
93,5
94,9
95,7
96,9
97,6
98,6
99,1
100,2
101,8
102,10
103,6
104,7
105,5
106,7
107,9
108,6
109,7
110,6
111,7
112,9
113,1
114,6
115,5
116,6
117,7
118,7
119,8
120,9
121,6
122,6
123,7
124,8
125,9
126,8
127,6
128,6
129,7
130,9
131,8
132,9
133,6
134,4
135,7
136,8
137,7
138,10
139,8
140,5
141,9
142,5
143,8
144,9
145,5
146,8
147,6
148,5
149,7
150,9
151,7
152,8
153,8
154,10
155,9
156,6
157,5
158,8
159,10
160,9
161,10
162,9
163,8
164,9
165,8
166,7
167,8
168,6
169,6
170,10
171,8
172,8
173,6
174,5
175,8
176,8
177,9
178,7
179,9
180,7
181,6
182,6
183,9
184,10
185,9
186,7
187,9
188,8
189,9
190,9
191,8
192,8
193,9
194,6
195,8
196,7
197,10
198,7
199,5
200,8
201,5
202,8
203,6
204,8
205,8
206,7
207,5
208,5
209,6
210,3
211,7
212,6
213,8
214,7
215,6
216,7
217,7
218,8
219,1
220,7
221,9
222,7
223,6
224,6
225,8
226,6
227,6
228,5
229,8
230,10
231,6
232,6
233,8
234,6
235,6
236,5
237,9
238,7
239,7
240,6
241,5
242,9
243,7
244,8
245,8
246,6
247,9
248,7
249,7
250,8
251,5
252,5
253,5
254,9
255,8
256,9
257,8
258,8
259,7
260,9
261,10
262,6
